RPM,Boost (psi),Duty (%),Mass flow (lb/min),Pressure ratio,Compressor eff (%),Charge temp (degF),Est WHP,Choke margin (lb/min),Surge margin (lb/min)
2000,0.5,0,4.43,1.068,30.0,84.1,41,55.57,3.62
2250,1.0,0,5.35,1.103,30.0,86.2,50,54.65,4.11
2500,1.5,0,6.36,1.139,30.0,88.3,59,53.64,4.69
2750,3.5,0,8.01,1.281,31.7,95.3,74,51.99,4.64
3000,6.5,0,10.38,1.493,37.6,101.7,97,49.62,4.46
3250,11.5,0,14.05,1.848,47.3,108.0,131,45.95,3.88
3500,17.5,13,18.87,2.276,58.6,112.3,175,41.13,4.80
3750,22.5,31,23.63,2.635,66.5,115.7,220,36.37,6.86
4000,26.0,43,27.89,2.890,70.5,118.8,259,32.11,9.22
4250,28.0,50,31.36,3.038,72.0,121.5,292,28.64,11.57
4500,29.0,54,34.29,3.116,72.3,123.6,319,25.71,13.92
4750,29.5,55,36.87,3.158,72.0,125.5,343,23.13,16.18
5000,30.0,57,39.48,3.201,71.2,128.0,367,20.52,18.47
5250,30.0,57,41.54,3.207,70.4,129.7,386,18.46,20.49
5500,30.0,57,43.59,3.213,69.2,131.7,405,16.41,22.49
5750,30.0,57,45.31,3.219,68.0,133.7,421,14.69,24.16
6000,29.5,55,46.58,3.188,67.4,134.3,433,13.42,25.66
6250,29.0,54,47.51,3.156,67.0,134.7,442,12.49,26.84
6500,28.5,52,48.38,3.124,66.6,134.9,450,11.62,27.95
6750,28.0,50,48.92,3.091,66.4,134.8,455,11.08,28.73
7000,27.5,48,49.38,3.058,66.3,134.5,459,10.62,29.44
7250,27.5,48,49.99,3.060,65.7,135.4,465,10.01,30.04
7500,27.0,46,50.07,3.025,66.0,134.6,466,9.93,30.38
