RPM,VE,Flow_lbmin_20psi,Flow_lbmin_22psi,Flow_lbmin_25psi,Flow_lbmin_28psi,Flow_lbmin_30psi,WHP_E85_20psi,WHP_E85_22psi,WHP_E85_25psi,WHP_E85_28psi,WHP_E85_30psi,7064-C_boost_25psi,7064-C_whp_25psi,7064-C_boost_30psi,7064-C_whp_30psi,7163-G_boost_25psi,7163-G_whp_25psi,7163-G_boost_30psi,7163-G_whp_30psi,7670-C_boost_25psi,7670-C_whp_25psi,7670-C_boost_30psi,7670-C_whp_30psi,8374-C_boost_25psi,8374-C_whp_25psi,8374-C_boost_30psi,8374-C_whp_30psi
2000,0.85,11.7,12.4,13.4,14.4,15.1,110.0,116.0,125.0,135.0,141.0,0.0,46.0,0.0,46.0,0.0,46.0,0.0,46.0,0.0,46.0,0.0,46.0,0.0,46.0,0.0,46.0
2250,0.865,13.4,14.2,15.4,16.5,17.3,126.0,133.0,144.0,155.0,162.0,0.5,55.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0
2500,0.88,15.2,16.1,17.4,18.7,19.6,142.0,150.0,162.0,175.0,183.0,5.1,81.0,2.2,69.0,0.5,62.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0
2750,0.9,17.1,18.1,19.5,21.0,22.0,160.0,169.0,183.0,197.0,206.0,12.5,125.0,9.5,111.0,5.1,91.0,2.2,78.0,0.1,68.0,0.0,68.0,0.0,68.0,0.0,68.0
3000,0.92,19.0,20.1,21.8,23.4,24.5,178.0,188.0,204.0,219.0,229.0,19.9,177.0,18.7,171.0,12.5,140.0,9.5,124.0,3.9,95.0,1.3,82.0,0.0,75.0,0.0,75.0
3250,0.94,21.1,22.3,24.1,25.9,27.2,197.0,208.0,226.0,243.0,254.0,24.5,223.0,26.6,235.0,19.9,196.0,18.7,190.0,10.9,146.0,7.8,128.0,1.9,94.0,0.2,84.0
3500,0.96,23.2,24.5,26.5,28.5,29.9,217.0,229.0,248.0,267.0,279.0,25.0,248.0,30.0,279.0,24.5,245.0,26.6,258.0,18.5,208.0,16.9,197.0,7.9,141.0,4.7,121.0
3750,0.98,25.4,26.8,29.0,31.2,32.7,237.0,251.0,271.0,292.0,305.0,25.0,271.0,30.0,305.0,25.0,271.0,30.0,305.0,23.9,264.0,25.3,273.0,15.6,207.0,13.1,190.0
4000,1.0,27.6,29.2,31.6,34.0,35.6,258.0,273.0,295.0,318.0,332.0,25.0,295.0,30.0,332.0,25.0,295.0,30.0,332.0,25.0,295.0,29.8,331.0,22.2,274.0,22.2,275.0
4250,1.015,29.8,31.5,34.1,36.6,38.3,278.0,294.0,318.0,342.0,359.0,25.0,318.0,30.0,359.0,25.0,318.0,30.0,359.0,25.0,318.0,30.0,359.0,25.0,318.0,28.7,348.0
4500,1.03,32.0,33.8,36.6,39.4,41.2,299.0,316.0,342.0,368.0,385.0,25.0,342.0,30.0,385.0,25.0,342.0,30.0,385.0,25.0,342.0,30.0,385.0,25.0,342.0,30.0,385.0
4750,1.04,34.1,36.1,39.0,41.9,43.9,319.0,337.0,365.0,392.0,411.0,25.0,365.0,30.0,411.0,25.0,365.0,30.0,411.0,25.0,365.0,30.0,411.0,25.0,365.0,30.0,411.0
5000,1.05,36.2,38.3,41.4,44.6,46.7,339.0,358.0,388.0,417.0,436.0,25.0,388.0,30.0,436.0,25.0,388.0,30.0,436.0,25.0,388.0,30.0,436.0,25.0,388.0,30.0,436.0
5250,1.045,37.9,40.0,43.3,46.6,48.8,354.0,374.0,405.0,436.0,456.0,25.0,405.0,30.0,456.0,25.0,405.0,30.0,456.0,25.0,405.0,30.0,456.0,25.0,405.0,30.0,456.0
5500,1.04,39.5,41.7,45.2,48.6,50.8,369.0,390.0,422.0,454.0,475.0,25.0,422.0,30.0,475.0,25.0,422.0,30.0,475.0,25.0,422.0,30.0,475.0,25.0,422.0,30.0,475.0
5750,1.025,40.7,43.0,46.5,50.0,52.4,380.0,402.0,435.0,468.0,490.0,25.0,435.0,30.0,490.0,25.0,435.0,30.0,490.0,25.0,435.0,30.0,490.0,25.0,435.0,30.0,490.0
6000,1.01,41.8,44.2,47.8,51.5,53.9,391.0,414.0,447.0,481.0,504.0,25.0,447.0,30.0,504.0,25.0,447.0,30.0,504.0,25.0,447.0,30.0,504.0,25.0,447.0,30.0,504.0
6250,0.99,42.7,45.2,48.8,52.5,55.0,399.0,422.0,457.0,491.0,514.0,25.0,457.0,30.0,514.0,25.0,457.0,30.0,514.0,25.0,457.0,30.0,514.0,25.0,457.0,30.0,514.0
