# EFR 7163 boost target table - Link G4X XtremeX
# Manifold boost (psi gauge). E85. Charge temp and compressor efficiency constrained.
# Ramp in from a lower table for initial shakedown - do NOT load this cold.
RPM,Boost_Target_psi,Boost_Target_kPa_gauge,est_flow_lbmin,est_comp_eff_pct,est_charge_tempF,est_whp_E85
2000,7.0,48.3,7.3,64.0,92.0,72.0
2250,9.8,67.2,9.5,63.1,98.0,92.0
2500,12.2,84.5,11.8,63.7,103.0,114.0
2750,15.2,105.1,14.7,63.4,108.0,141.0
3000,18.5,127.6,18.2,63.1,114.0,173.0
3250,22.0,151.7,22.3,63.1,121.0,209.0
3500,25.8,177.5,27.0,63.3,127.0,251.0
3750,30.0,206.8,32.7,63.6,134.0,299.0
4000,30.0,206.8,35.6,67.7,132.0,327.0
4250,30.0,206.8,38.3,70.6,130.0,353.0
4500,30.0,206.8,41.2,72.6,130.0,380.0
4750,30.0,206.8,43.9,73.7,130.0,405.0
5000,30.0,206.8,46.7,74.2,130.0,430.0
5250,30.0,206.8,48.8,74.2,131.0,449.0
5500,30.0,206.8,50.8,73.9,132.0,467.0
5750,30.0,206.8,52.4,73.6,133.0,481.0
6000,30.0,206.8,53.9,73.2,134.0,494.0
6250,30.0,206.8,55.0,72.9,134.0,504.0
6500,29.8,205.1,55.7,72.4,135.0,510.0
6750,29.2,201.7,55.8,71.9,134.0,510.0
7000,28.8,198.2,55.6,71.4,134.0,510.0
7250,28.5,196.5,55.7,71.1,134.0,511.0
7500,28.2,194.8,55.7,70.8,134.0,511.0
